Block,Village,location,Latitude,Longitude,RL_(m),Hyd_Formation,Wl_post_202_m_bbgl,WL_pre_2021mbgl
Phagi,MadhorajpurPz,"MadhorajpurPz, Phagi, Rajasthan, India",26.5765285,75.648448,308,Gneiss,11.9,8.55
Phagi,Didata,"Didata, Phagi, Rajasthan, India",26.578406,75.5684254,308.19,Gneiss,8.1,13
Chaksu,Kothun,"Kothun, Chaksu, Rajasthan, India",26.5115745,75.9477755,309,Quartzite Schist,5.7,6.4
Bassi,Devgaon,"Devgaon, Bassi, Rajasthan, India",26.8419275,76.0521171,310,Quartzite Schist,51,50.9
Phagi,Ghatyali,"Ghatyali, Phagi, Rajasthan, India",26.5021946,75.3616223,310,Gneiss,7.2,10.8
Phagi,Ladana,"Ladana, Phagi, Rajasthan, India",26.6598367,75.5822506,310,"Younger
Alluvium",6.7,14.9
Phagi,LadanaPz,"LadanaPz, Phagi, Rajasthan, India",26.578406,75.5684254,310,"Younger
Alluvium",4.9,9.9
Chaksu,Gurwasa,"Gurwasa, Chaksu, Rajasthan, India",26.6034639,75.9435991,311,Older Alluvium,15.3,17
Phagi,Parun(Parwan),"Parun(Parwan), Phagi, Rajasthan, India",26.5050671,75.6055322,311,Mica Schist,2.85,4.95
Chaksu,Chaksu,"Chaksu, Chaksu, Rajasthan, India",26.6034639,75.9435991,311.1,Older Alluvium,5,4.85
Chaksu,Sanwasa(Sanwalia),"Sanwasa(Sanwalia), Chaksu, Rajasthan, India",26.5620826,76.2392217,311.29,Quartzite,9.15,7.25
Dudu,Dantri,"Dantri, Dudu, Rajasthan, India",26.6332484,75.1019942,313,Gneiss,6.6,7.1
Phagi,Lasariya,"Lasariya, Phagi, Rajasthan, India",26.5469232,75.4869033,313,Gneiss,4.75,10.85
Chaksu,"Hingoniya (Sawai
Madhosinghpura)","Hingoniya (Sawai
Madhosinghpura), Chaksu, Rajasthan, India",26.5200307,75.8737288,314,Quartzite Schist,8.6,10
Chaksu,Rupaheri,"Rupaheri, Chaksu, Rajasthan, India",26.6034639,75.9435991,314.47,Older Alluvium,13.5,14.2
Phagi,Nemeda,"Nemeda, Phagi, Rajasthan, India",26.578406,75.5684254,315.68,Gneiss,3.6,7.2
Bassi,Bhateri,"Bhateri, Bassi, Rajasthan, India",26.8398957,76.2450153,315.98,Yr. Alluvium,17.2,19
Phagi,Mohanpura (Ranwa),"Mohanpura (Ranwa), Phagi, Rajasthan, India",26.5783803,75.5573568,316,Schist,6.65,6.65
Bassi,Tunga,"Tunga, Bassi, Rajasthan, India",26.8340706,76.055924,316,Quartzite Schist,46.6,45.7
Chaksu,Chandalai,"Chandalai, Chaksu, Rajasthan, India",26.6864136,75.8780855,317,Quartzite Schist,-0.2,0.7
Phagi,Ladana,"Ladana, Phagi, Rajasthan, India",26.6598367,75.5822506,317.44,Older Alluvium,8.7,8.7
Phagi,Madhorajpur,"Madhorajpur, Phagi, Rajasthan, India",26.5765285,75.648448,317.74,Gneiss,7.4,10.1
Chaksu,Kadera,"Kadera, Chaksu, Rajasthan, India",26.582613,75.8359645,318.19,Older Alluvium,13.6,14.3
Chaksu,Akoriya,"Akoriya, Chaksu, Rajasthan, India",26.6034639,75.9435991,318.21,Quartzite,8.2,9.2
Phagi,Lasariya,"Lasariya, Phagi, Rajasthan, India",26.5469232,75.4869033,318.42,Schist,1.25,5.05
Dudu,Gadota,"Gadota, Dudu, Rajasthan, India",26.6832448,75.2335695,319,Gneiss,4.3,7.8
Phagi,Ghatiyali,"Ghatiyali, Phagi, Rajasthan, India",26.5021946,75.3616223,319,Mica Schist,3.7,4.6
Phagi,Madhorajpur,"Madhorajpur, Phagi, Rajasthan, India",26.5765285,75.648448,320,Gneiss,7.4,9.4
Chaksu,Teetariya,"Teetariya, Chaksu, Rajasthan, India",26.6586354,75.8316064,322,Mica Schist,14.4,15.1
Phagi,Tickel,"Tickel, Phagi, Rajasthan, India",26.578406,75.5684254,322,Gneiss,4.7,8.25
Phagi,Chittora,"Chittora, Phagi, Rajasthan, India",26.6377734,75.7044377,323,"Younger
Alluvium",11.75,21.05
Phagi,ChittoraPz,"ChittoraPz, Phagi, Rajasthan, India",26.578406,75.5684254,323,"Younger
Alluvium",11.25,10.95
Sanganer,GONER,"GONER, Sanganer, Rajasthan, India",26.778057,75.9143867,323,Schist,15,14.1
Chaksu,THALLI,"THALLI, Chaksu, Rajasthan, India",26.6095019,75.866263,323,Older Alluvium,6.85,8.95
Phagi,Phagi,"Phagi, Phagi, Rajasthan, India",26.578406,75.5684254,323.22,Gneiss,3.15,3.85
Phagi,Chakwara,"Chakwara, Phagi, Rajasthan, India",26.6101767,75.5131117,324,Gneiss,10.7,18.1
Phagi,Kansel,"Kansel, Phagi, Rajasthan, India",26.7325861,75.4985521,324,Older Alluvium,8.9,5.85
Chaksu,Tuntoli,"Tuntoli, Chaksu, Rajasthan, India",26.6034639,75.9435991,324,Mica Schist,15.6,15.5
Chaksu,Hingonia,"Hingonia, Chaksu, Rajasthan, India",26.5200307,75.8737288,324.2,Older Alluvium,8.4,8.4
Phagi,GhatyaliPz,"GhatyaliPz, Phagi, Rajasthan, India",26.578406,75.5684254,325,Gneiss,5.58,9.7
Chaksu,Kothun,"Kothun, Chaksu, Rajasthan, India",26.5115745,75.9477755,326.14,Quartzite,5.3,5.5
Sanganer,DahmiKallan,"DahmiKallan, Sanganer, Rajasthan, India",26.8191641,75.7659513,327,Mica Schist,52.5,53.5
Phagi,Chittora,"Chittora, Phagi, Rajasthan, India",26.6377734,75.7044377,327.75,Gneiss,11.35,10
Phagi,Choru,"Choru, Phagi, Rajasthan, India",26.5894236,75.4519516,328,Gneiss,1.8,9.1
Phagi,ChoruPz,"ChoruPz, Phagi, Rajasthan, India",26.578406,75.5684254,328,Gneiss,14.25,20.5
Dudu,MANGARWARA,"MANGARWARA, Dudu, Rajasthan, India",26.6832448,75.2335695,328,Gneiss,1.08,2.43
Phagi,Kansel,"Kansel, Phagi, Rajasthan, India",26.7325861,75.4985521,328.5,Gneiss,5.6,5.6
Bassi,Rojwari,"Rojwari, Bassi, Rajasthan, India",26.7936295,76.1711283,329,Quartzite,54.6,57.55
Phagi,Tickel,"Tickel, Phagi, Rajasthan, India",26.578406,75.5684254,329.17,Gneiss,4.9,5.7
Bassi,Madhogarh,"Madhogarh, Bassi, Rajasthan, India",26.7648992,76.1870681,330,Quartzite Schist,37.6,37.3
Bassi,Madhogarh,"Madhogarh, Bassi, Rajasthan, India",26.7648992,76.1870681,330,Quartzite,35.4,38.7
Phagi,Majhi RenwalPz,"Majhi RenwalPz, Phagi, Rajasthan, India",26.578406,75.5684254,330,Older Alluvium,25.55,29.1
Phagi,Choru,"Choru, Phagi, Rajasthan, India",26.5894236,75.4519516,330.36,Gneiss,12.05,12.05
Phagi,Majhi Renwal,"Majhi Renwal, Phagi, Rajasthan, India",26.6937172,75.6839762,331,Gneiss,26.5,33.8
Chaksu,Teetriya,"Teetriya, Chaksu, Rajasthan, India",26.6586354,75.8316064,331.24,Older Alluvium,15.1,15.9
Phagi,Chakwara,"Chakwara, Phagi, Rajasthan, India",26.6101767,75.5131117,332,Gneiss,3.4,6
Phagi,Mohanpura,"Mohanpura, Phagi, Rajasthan, India",26.6648309,75.6659016,332,Older Alluvium,6.1,6.1
Phagi,Chakwara,"Chakwara, Phagi, Rajasthan, India",26.6101767,75.5131117,332.31,Gneiss,5.45,7.2
Dudu,Dhamana,"Dhamana, Dudu, Rajasthan, India",26.6832448,75.2335695,333,Gneiss,4.6,10.5
Phagi,Phagi,"Phagi, Phagi, Rajasthan, India",26.578406,75.5684254,333,Gneiss,1.43,2.9
Phagi,Ghatyali,"Ghatyali, Phagi, Rajasthan, India",26.5021946,75.3616223,333.66,Schist,5,6.3
Bassi,Rojwari,"Rojwari, Bassi, Rajasthan, India",26.7936295,76.1711283,333.87,Older Alluvium,58.95,58.45
Dudu,Sewa,"Sewa, Dudu, Rajasthan, India",26.6832448,75.2335695,333.99,Gneiss,3.6,3.9
Kotputli,Paniyala,"Paniyala, Kotputli, Rajasthan, India",27.798536,76.2421185,334,"Younger
Alluvium",46.7,46.7
Chaksu,SHIVDASPURA,"SHIVDASPURA, Chaksu, Rajasthan, India",26.7112514,75.8955113,334,Older Alluvium,20.5,22.7
Chaksu,Chandlai,"Chandlai, Chaksu, Rajasthan, India",26.6864136,75.8780855,334.57,Older Alluvium,1.05,2.15
Dudu,MOZMABAD,"MOZMABAD, Dudu, Rajasthan, India",26.6832448,75.2335695,335,Gneiss,3.57,6.87
Dudu,Sewa,"Sewa, Dudu, Rajasthan, India",26.6832448,75.2335695,335,Gneiss,2.8,3.2
Phagi,Tickel,"Tickel, Phagi, Rajasthan, India",26.578406,75.5684254,336,Gneiss,4.3,7.1
Dudu,Bandh Ke Balaji,"Bandh Ke Balaji, Dudu, Rajasthan, India",26.6832448,75.2335695,337,Schist,51.5,45.3
